Date,time,Wind Speed(m/s),Wind Direction(degree),Atmospheric Temperature(°C),Atmospheric Humidity(%),24-hour Cumulative Rainfall(mm/24h),Solar Radiation(W/m2)
2026-06-09,11:14:10,0.0,0,15.5,65.0,0.0,0
2026-06-09,11:15:10,0.0,0,15.5,64.9,0.0,0
2026-06-09,11:16:10,0.0,0,15.5,64.8,0.0,0
2026-06-09,11:17:10,0.0,0,15.5,64.8,0.0,0
2026-06-09,11:18:10,0.0,0,15.6,64.8,0.0,0
2026-06-09,11:19:10,0.0,0,15.6,64.7,0.0,0
2026-06-09,11:20:10,0.0,0,15.5,64.6,0.0,0
2026-06-09,11:21:11,0.0,0,15.6,64.5,0.0,0
2026-06-09,11:22:10,0.0,0,15.6,64.5,0.0,0
2026-06-09,11:23:11,0.0,0,15.5,64.5,0.0,0
2026-06-09,11:24:11,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:25:11,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:26:11,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:27:11,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:28:11,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:29:11,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:30:11,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:31:11,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:32:11,0.0,0,15.6,64.1,0.0,0
2026-06-09,11:33:11,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:34:11,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:35:11,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:36:11,0.0,0,15.6,64.1,0.0,0
2026-06-09,11:37:11,0.0,0,15.6,64.1,0.0,0
2026-06-09,11:38:12,0.0,0,15.6,64.1,0.0,0
2026-06-09,11:39:12,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:40:12,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:41:12,0.0,0,15.6,64.2,0.0,0
2026-06-09,11:42:12,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:43:12,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:44:12,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:45:12,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:46:12,0.0,0,15.6,64.6,0.0,0
2026-06-09,11:47:12,0.0,0,15.6,64.5,0.0,0
2026-06-09,11:48:12,0.0,0,15.6,64.6,0.0,0
2026-06-09,11:49:12,0.0,0,15.6,64.5,0.0,0
2026-06-09,11:50:12,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:51:12,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:52:13,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:53:13,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:54:13,0.0,0,15.6,64.3,0.0,0
2026-06-09,11:55:13,0.0,0,15.7,64.3,0.0,0
2026-06-09,11:56:13,0.0,0,15.7,64.4,0.0,0
2026-06-09,11:57:13,0.0,0,15.6,64.4,0.0,0
2026-06-09,11:58:13,0.0,0,15.7,64.5,0.0,0
2026-06-09,11:59:13,0.0,0,15.7,64.5,0.0,0
2026-06-09,12:00:13,0.0,0,15.7,64.5,0.0,0
2026-06-09,12:01:13,0.0,0,15.7,64.6,0.0,0
2026-06-09,12:02:13,0.0,0,15.7,64.6,0.0,0
2026-06-09,12:03:13,0.0,0,15.7,64.5,0.0,0
2026-06-09,12:04:13,0.0,0,15.7,64.5,0.0,0
2026-06-09,12:05:13,0.0,0,15.7,64.4,0.0,0
