valid_time,latitude,longitude,d2m,t2m,ssrd,u10,v10,sp,tp,number,expver,humidity
2023-06-04 04:00:00,-34.900000000000006,-71.90000000000003,282.98413,283.97882,0.0,-0.48075867,2.13089,99998.875,0.0,0,0001,98.47472
2023-06-04 05:00:00,-34.900000000000006,-71.90000000000003,282.81696,283.55194,0.0,-0.7616272,2.151825,99936.375,0.0,0,0001,98.86948
2023-06-04 06:00:00,-34.900000000000006,-71.90000000000003,282.7865,283.3828,0.0,-0.948349,2.0661774,99894.75,0.0,0,0001,99.081375
2023-06-04 07:00:00,-34.900000000000006,-71.90000000000003,282.45935,283.41583,0.0,-0.91490173,2.020752,99912.375,4.351138e-07,0,0001,98.52995
2023-06-04 08:00:00,-34.900000000000006,-71.90000000000003,282.08618,282.94257,0.0,-1.1766663,1.8968658,99831.5,4.351138e-07,0,0001,98.680695
2023-06-04 09:00:00,-34.900000000000006,-71.90000000000003,281.8368,282.5963,0.0,-1.376236,1.6347046,99770.875,4.351138e-07,0,0001,98.827614
2023-06-04 10:00:00,-34.900000000000006,-71.90000000000003,281.54272,282.14258,0.0,-1.2624664,1.5597534,99743.0,4.351138e-07,0,0001,99.07165
2023-06-04 11:00:00,-34.900000000000006,-71.90000000000003,281.19507,281.56934,0.0,-1.1044006,1.4938202,99768.25,4.351138e-07,0,0001,99.41873
2023-06-04 12:00:00,-34.900000000000006,-71.90000000000003,280.62573,280.82166,2076.0,-1.1309204,1.5399323,99840.81,4.351138e-07,0,0001,99.69453
2023-06-04 13:00:00,-34.900000000000006,-71.90000000000003,281.1068,281.63654,257244.0,-1.2030945,1.3478241,99859.81,4.351138e-07,0,0001,99.17828
2023-06-04 14:00:00,-34.900000000000006,-71.90000000000003,281.58496,283.19043,948072.0,-1.445221,1.3805542,99847.06,4.351138e-07,0,0001,97.53967
2023-06-04 15:00:00,-34.900000000000006,-71.90000000000003,281.9867,285.51276,2.269508e+06,-1.2649384,1.5776062,99817.94,4.351138e-07,0,0001,94.70266
